date,duration,T,Wind,P,Rh,Precipitations,Cₐ,e,eₛ,VPD,ρ,λ,γ,ε,Δ,clearness,Ri_SW_f,Ri_PAR_f,Ri_NIR_f,Ri_TIR_f,Ri_custom_f,Ri_SW_f_direct,Ri_SW_f_diffuse
2025-11-06T13:00:00.0,1 hour,14.9,7.02,100.19,0.87,1.9,400.0,1.4795810646494214,1.700667890401634,0.2210868257522125,1.2116744064005058,2.4657615e6,0.06617475925122544,0.58371694034143,0.10986535659805785,Inf,89.0,42.72,46.28,Inf,Inf,5.0,84.0
2025-11-06T14:00:00.0,1 hour,14.4,7.3,100.2,0.92,5.8,400.0,1.514926662759078,1.6466594160424761,0.13173275328339806,1.2139024477703562,2.466944e6,0.06614964093513025,0.585834273923901,0.10679457169903817,Inf,23.0,11.04,11.96,Inf,Inf,0.0,23.0
2025-11-06T15:00:00.0,1 hour,14.4,6.83,100.15,0.93,3.0,400.0,1.5313932569195028,1.6466594160424761,0.11526615912297333,1.2132967080259598,2.466944e6,0.06611663213226841,0.5867397451257739,0.10679457169903817,Inf,18.0,8.64,9.36,Inf,Inf,0.0,18.0
2025-11-06T16:00:00.0,1 hour,14.1,5.92,100.16,0.93,1.7,400.0,1.5019342362986645,1.61498304978351,0.11304881348484552,1.2146851331090163,2.4676535e6,0.06610422213351275,0.5852011268757306,0.10498746767785283,Inf,18.0,8.64,9.36,Inf,Inf,0.0,18.0
2025-11-06T17:00:00.0,1 hour,13.8,4.35,100.14,0.93,5.3,400.0,1.4729745282581213,1.5838435787721732,0.11086905051405194,1.2157122575367294,2.468363e6,0.066072025372797,0.5836628200529694,0.10320650912843954,Inf,1.0,0.48,0.52,Inf,Inf,0.0,1.0
2025-11-06T18:00:00.0,1 hour,12.8,3.11,100.28,0.92,5.3,400.0,1.3651177915300425,1.4838236864456984,0.11870589491565586,1.2216693044167435,2.470728e6,0.06610106381444719,0.5776446376197539,0.0974548798835162,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-06T19:00:00.0,1 hour,12.2,4.61,100.22,0.93,2.2,400.0,1.326660595182221,1.4265167690131408,0.09985617383091983,1.2235055932776113,2.472147e6,0.06602359493765575,0.5754640053948897,0.09413705224097679,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-06T20:00:00.0,1 hour,11.9,5.33,100.22999999999999,0.91,3.8,400.0,1.2727266093350638,1.3986006695989712,0.12587406026390746,1.224915478458048,2.4728565e6,0.06601123774387,0.5721481103203372,0.09251464829514777,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-06T21:00:00.0,1 hour,11.8,5.92,100.28,0.9,1.9,400.0,1.2504624761024348,1.3894027512249274,0.13894027512249263,1.2259566155394552,2.473093e6,0.06603785187056915,0.5707360617570525,0.09197918374043823,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
2025-11-06T22:00:00.0,1 hour,11.8,5.68,100.27000000000001,0.87,0.5,400.0,1.208780393565687,1.3894027512249274,0.1806223576592405,1.2258343621872876,2.473093e6,0.06603126652435151,0.5679786246621075,0.09197918374043823,Inf,0.0,0.0,0.0,Inf,Inf,0.0,0.0
